"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"559",946030,3319,77,574,0,1676842752
"560",946071,3287,75,567,0,1679842906
"561",946106,3261,64,569,0,1682829116
"562",946005,3332,72,591,0,1685826009
"563",945937,3404,81,578,0,1688820474
"564",945935,3400,92,573,0,1691819551
"565",945992,3353,80,575,0,1694801675
"566",945981,3346,89,584,0,1697789486
"567",945975,3353,75,597,0,1700781784
"568",946014,3369,75,542,0,1703776646
"569",946000,3368,63,569,0,1706767032
"570",945930,3423,73,574,0,1709772440
"571",946001,3403,63,533,0,1712752927
"572",945990,3421,72,517,0,1715762321
"573",946010,3381,79,530,0,1718760677
"574",946027,3357,74,542,0,1721741563
"575",946017,3395,72,516,0,1724734319
"576",946018,3396,57,529,0,1727741371
"577",946011,3414,50,525,0,1730741058
"578",946042,3383,55,520,0,1733741972
"579",946101,3335,70,494,0,1736742767
"580",946093,3361,71,475,0,1739724664
"581",946078,3360,73,489,0,1742727926
"582",945939,3445,69,547,0,1745728662
"583",945925,3420,57,598,0,1748727601
"584",945802,3527,78,593,0,1751720100
"585",945731,3603,70,596,0,1754713521
"586",945718,3586,67,629,0,1757718222
"587",945791,3538,65,606,0,1760709483
"588",945747,3585,59,609,0,1763705136
"589",945682,3637,53,628,0,1766708052
"590",945626,3669,58,647,0,1769687061
"591",945654,3638,58,650,0,1772678957
"592",945548,3735,65,652,0,1775672717
"593",945611,3668,66,655,0,1778676042
"594",945703,3584,63,650,0,1781663635
"595",945722,3535,88,655,0,1784655513
"596",945758,3498,79,665,0,1787654551
"597",945806,3429,69,696,0,1790653151
"598",945731,3502,61,706,0,1793644576
"599",945702,3525,68,705,0,1796639781
"600",945671,3555,78,696,0,1799636296
"601",945643,3593,70,694,0,1802632622
"602",945651,3608,61,680,0,1805616253
"603",945704,3557,82,657,0,1808607696
"604",945692,3558,70,680,0,1811600117
"605",945611,3570,81,738,0,1814579945
"606",945531,3645,84,740,0,1817573301
"607",945537,3623,88,752,0,1820572289
"608",945544,3645,71,740,0,1823571589
"609",945467,3702,56,775,0,1826563994
"610",945544,3660,57,739,0,1829558428
"611",945510,3674,65,751,0,1832539149
"612",945482,3685,73,760,0,1835530851
"613",945420,3770,80,730,0,1838528671
"614",945536,3670,91,703,0,1841529577
"615",945586,3669,95,650,0,1844526209
"616",945573,3700,97,630,0,1847518097
"617",945593,3681,98,628,0,1850526248
"618",945616,3642,111,631,0,1853521866
"619",945550,3691,108,651,0,1856518454
"620",945569,3712,100,619,0,1859500239
"621",945597,3680,111,612,0,1862495025
"622",945497,3767,119,617,0,1865481102
"623",945546,3745,114,595,0,1868473292
"624",945547,3768,96,589,0,1871468993
"625",945552,3764,82,602,0,1874475802
"626",945519,3793,90,598,0,1877466784
"627",945491,3773,88,648,0,1880454087
"628",945555,3736,102,607,0,1883452418
"629",945618,3651,102,629,0,1886445294
"630",945591,3652,114,643,0,1889444893
"631",945585,3603,120,692,0,1892442481
"632",945579,3597,125,699,0,1895428631
"633",945582,3613,119,686,0,1898425117
"634",945561,3621,122,696,0,1901424727
"635",945484,3680,122,714,0,1904419649
"636",945574,3638,119,669,0,1907416573
"637",945519,3666,132,683,0,1910415289
"638",945554,3641,126,679,0,1913402524
"639",945562,3601,119,718,0,1916396642
"640",945511,3641,118,730,0,1919387375
"641",945443,3629,123,805,0,1922385222
"642",945478,3633,101,788,0,1925375310
"643",945460,3623,87,830,0,1928360120
"644",945497,3624,85,794,0,1931352057
"645",945452,3661,71,816,0,1934345995
"646",945370,3744,76,810,0,1937337735
"647",945357,3760,80,803,0,1940334732
"648",945295,3850,67,788,0,1943326761
"649",945319,3825,86,770,0,1946311602
"650",945358,3776,95,771,0,1949308700
"651",945367,3778,92,763,0,1952307018
"652",945253,3869,94,784,0,1955305424
"653",945306,3822,78,794,0,1958297842
"654",945270,3845,75,810,0,1961277369
"655",945234,3857,58,851,0,1964266397
"656",945195,3883,63,859,0,1967264808
"657",945182,3917,69,832,0,1970258315
"658",945238,3851,79,832,0,1973258715
"659",945231,3826,85,858,0,1976260352
"660",945206,3908,60,826,0,1979249749
"661",945211,3878,83,828,0,1982241103
"662",945238,3879,76,807,0,1985235610
"663",945243,3863,69,825,0,1988228315
"664",945264,3836,68,832,0,1991218069
"665",945247,3861,72,820,0,1994205711
"666",945256,3879,59,806,0,1997199597
"667",945241,3911,63,785,0,2000192418
"668",945317,3845,55,783,0,2003191081
"669",945288,3838,76,798,0,2006182411
"670",945248,3915,70,767,0,2009184390
"671",945213,3982,70,735,0,2012175865
"672",945175,4039,73,713,0,2015155396
"673",945107,4101,61,731,0,2018158813
"674",945233,4010,66,691,0,2021150830
"675",945190,3985,73,752,0,2024144772
"676",945185,3988,85,742,0,2027124975
"677",945076,4113,97,714,0,2030109826
"678",944961,4242,96,701,0,2033104954
"679",944859,4309,105,727,0,2036093075
"680",944820,4305,120,755,0,2039091500
"681",944819,4318,120,743,0,2042090192
"682",944834,4312,108,746,0,2045074095
"683",944854,4283,112,751,0,2048066913
"684",944826,4334,114,726,0,2051055606
"685",944772,4388,104,736,0,2054048494
"686",944810,4337,104,749,0,2057033249
"687",944697,4427,115,761,0,2060025419
"688",944705,4439,119,737,0,2063025445
"689",944621,4523,95,761,0,2066027610
"690",944678,4478,83,761,0,2069017246
"691",944488,4693,74,745,0,2072003881
"692",944392,4777,72,759,0,2074991334
"693",944293,4871,67,769,0,2077977108
