"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"520",942231,6273,145,1351,0,1560546082
"521",942262,6264,154,1320,0,1563539105
"522",942248,6262,167,1323,0,1566523259
"523",942131,6380,159,1330,0,1569523512
"524",942102,6373,168,1357,0,1572514636
"525",942147,6348,158,1347,0,1575502713
"526",942115,6400,156,1329,0,1578491458
"527",942240,6303,143,1314,0,1581494921
"528",942202,6315,136,1347,0,1584492129
"529",942183,6370,116,1331,0,1587477318
"530",942048,6489,130,1333,0,1590463269
"531",942067,6433,138,1362,0,1593452467
"532",942041,6449,136,1374,0,1596444265
"533",941998,6452,140,1410,0,1599448766
"534",942001,6506,113,1380,0,1602437886
"535",941963,6494,98,1445,0,1605442427
"536",942000,6430,86,1484,0,1608435400
"537",942028,6402,106,1464,0,1611433942
"538",942141,6315,104,1440,0,1614436215
"539",942028,6385,112,1475,0,1617421591
"540",941966,6421,121,1492,0,1620414132
"541",941968,6387,149,1496,0,1623409863
"542",941917,6395,153,1535,0,1626397994
"543",941961,6401,145,1493,0,1629388862
"544",942010,6393,139,1458,0,1632386572
"545",941936,6480,144,1440,0,1635382484
"546",942008,6456,158,1378,0,1638378558
"547",942005,6450,168,1377,0,1641366470
"548",942098,6422,142,1338,0,1644360745
"549",942070,6401,138,1391,0,1647351836
"550",941985,6508,138,1369,0,1650345123
"551",942032,6466,134,1368,0,1653338430
"552",941999,6544,143,1314,0,1656330058
"553",942034,6529,147,1290,0,1659321843
"554",941888,6693,122,1297,0,1662317528
"555",941848,6686,130,1336,0,1665314221
"556",941880,6624,125,1371,0,1668303567
"557",941803,6674,132,1391,0,1671301961
"558",941718,6734,129,1419,0,1674293990
"559",941802,6767,110,1321,0,1677288733
"560",941780,6757,109,1354,0,1680281212
"561",941761,6714,105,1420,0,1683279736
"562",941681,6706,131,1482,0,1686275802
"563",941755,6664,121,1460,0,1689268474
"564",941782,6729,138,1351,0,1692251703
"565",941728,6804,122,1346,0,1695244250
"566",941700,6828,116,1356,0,1698235939
"567",941746,6790,118,1346,0,1701227111
"568",941761,6808,93,1338,0,1704224572
"569",941710,6866,99,1325,0,1707227850
"570",941698,6858,126,1318,0,1710222454
"571",941650,6895,138,1317,0,1713215803
"572",941632,6905,137,1326,0,1716209677
"573",941550,6993,142,1315,0,1719204948
"574",941617,6934,144,1305,0,1722187268
"575",941549,6964,129,1358,0,1725184091
"576",941574,6991,121,1314,0,1728183270
"577",941630,6974,120,1276,0,1731183032
"578",941600,6986,126,1288,0,1734172609
"579",941585,7032,124,1259,0,1737162725
"580",941482,7162,129,1227,0,1740159194
"581",941375,7286,121,1218,0,1743153053
"582",941332,7290,130,1248,0,1746143087
"583",941294,7289,127,1290,0,1749136375
"584",941322,7245,121,1312,0,1752128906
"585",941331,7218,148,1303,0,1755119721
"586",941319,7269,143,1269,0,1758106156
"587",941294,7328,160,1218,0,1761101215
"588",941295,7303,163,1239,0,1764106368
"589",941283,7370,141,1206,0,1767094577
"590",941224,7420,145,1211,0,1770084122
"591",941224,7428,122,1226,0,1773086879
"592",941128,7563,124,1185,0,1776087054
"593",941154,7552,100,1194,0,1779074564
"594",941031,7655,119,1195,0,1782067066
"595",941038,7612,130,1220,0,1785066176
"596",940949,7672,135,1244,0,1788049635
"597",940886,7689,172,1253,0,1791058366
"598",940820,7752,186,1242,0,1794045497
"599",940725,7888,191,1196,0,1797043605
"600",940719,7927,180,1174,0,1800052102
"601",940577,8064,191,1168,0,1803041358
